,hash_sample,offset,covariates_beta,drift_beta,true_identity,age,filename,y_pred,proba_pred,y_drift,proba_drift,predicted_age,euclidean,cosine,identity_grouping_distance,orig_TP,orig_FN,virtual_TP,virtual_FN,stat_TP,stat_FP,stat_undefined
0,1,0.01,0.0,0.1,PaulAnka,60,102_PaulAnka_60_m.jpg,PaulAnka,0.9671908194580146,PaulAnka,0.9681191154321328,6.47,0.900076150894165,0.9972253441810608,-42634.44051146507,1,0,1,0,1,0,0
1,1,0.01,0.0,0.19,PaulAnka,60,102_PaulAnka_60_m.jpg,PaulAnka,0.9671908194580146,PaulAnka,0.9713881821927616,6.47,1.82706880569458,0.9885505437850952,-42634.44051146507,1,0,1,0,1,0,0
2,1,0.01,0.0,0.28,PaulAnka,60,102_PaulAnka_60_m.jpg,PaulAnka,0.9671908194580146,PaulAnka,0.9662746821786072,6.47,3.151780605316162,0.9658238887786865,-42634.44051146507,1,0,1,0,1,0,0
3,1,0.01,0.0,0.37,PaulAnka,60,102_PaulAnka_60_m.jpg,PaulAnka,0.9671908194580146,PaulAnka,0.9514807019256541,6.47,4.968410491943359,0.9148920178413391,-42634.44051146507,1,0,1,0,1,0,0
4,1,0.01,0.0,0.45999999999999996,PaulAnka,60,102_PaulAnka_60_m.jpg,PaulAnka,0.9671908194580146,PaulAnka,0.94160172462027,6.47,7.9220781326293945,0.7795758247375488,-42634.44051146507,1,0,1,0,1,0,0
5,1,0.01,0.0,0.5499999999999999,PaulAnka,60,102_PaulAnka_60_m.jpg,PaulAnka,0.9671908194580146,PaulAnka,0.8416198171070439,6.47,10.120819091796875,0.5548678636550903,-42634.44051146507,1,0,1,0,1,0,0
6,1,0.01,0.0,0.64,PaulAnka,60,102_PaulAnka_60_m.jpg,PaulAnka,0.9671908194580146,EvaMarieSaint,0.9265483960483492,6.47,12.385623931884766,0.3212289810180664,-42634.44051146507,1,0,0,1,0,1,0
7,1,0.01,0.0,0.73,PaulAnka,60,102_PaulAnka_60_m.jpg,PaulAnka,0.9671908194580146,EvaMarieSaint,0.865069311830049,6.47,11.733386993408203,0.34460702538490295,-42634.44051146507,1,0,0,1,0,1,0
8,1,0.01,0.0,0.82,PaulAnka,60,102_PaulAnka_60_m.jpg,PaulAnka,0.9671908194580146,PaulAnka,0.8167999286243773,6.47,12.052716255187988,0.2679823637008667,-42634.44051146507,1,0,1,0,1,0,0
9,1,0.01,0.0,0.9099999999999999,PaulAnka,60,102_PaulAnka_60_m.jpg,PaulAnka,0.9671908194580146,PaulAnka,0.8122674429440563,6.47,12.552894592285156,0.14193838834762573,-42634.44051146507,1,0,1,0,1,0,0
10,1,0.01,0.0,1.0,PaulAnka,60,102_PaulAnka_60_m.jpg,PaulAnka,0.9671908194580146,EvaMarieSaint,0.8466993342410115,6.47,12.728255271911621,0.06779787689447403,-42634.44051146507,1,0,0,1,0,1,0
11,2,0.01,0.0,0.1,LuiseRainer,26,10638_LuiseRainer_26_f.jpg,AngelaLansbury,0.8970084181913582,AngelaLansbury,0.8974081603236127,-10.24,0.7333968877792358,0.9971609711647034,5942.371163845062,0,1,0,1,0,0,1
12,2,0.01,0.0,0.19,LuiseRainer,26,10638_LuiseRainer_26_f.jpg,AngelaLansbury,0.8970084181913582,AngelaLansbury,0.9173511088197261,-10.24,1.6945549249649048,0.9849079251289368,5942.371163845062,0,1,0,1,0,0,1
13,2,0.01,0.0,0.28,LuiseRainer,26,10638_LuiseRainer_26_f.jpg,AngelaLansbury,0.8970084181913582,AngelaLansbury,0.9335433559379391,-10.24,4.076427459716797,0.9186133146286011,5942.371163845062,0,1,0,1,0,0,1
14,2,0.01,0.0,0.37,LuiseRainer,26,10638_LuiseRainer_26_f.jpg,AngelaLansbury,0.8970084181913582,AngelaLansbury,0.9201281049091867,-10.24,4.265456199645996,0.9074936509132385,5942.371163845062,0,1,0,1,0,0,1
15,2,0.01,0.0,0.45999999999999996,LuiseRainer,26,10638_LuiseRainer_26_f.jpg,AngelaLansbury,0.8970084181913582,ArnoldSchwarzenegger,0.9137957101491927,-10.24,6.320907115936279,0.7699846029281616,5942.371163845062,0,1,0,1,0,0,1
