,hash_sample,offset,covariates_beta,drift_beta,true_identity,age,filename,y_pred,proba_pred,y_drift,proba_drift,predicted_age,euclidean,cosine,identity_grouping_distance,orig_TP,orig_FN,virtual_TP,virtual_FN,stat_TP,stat_FP,stat_undefined
0,5,0.01,0.0,0.1,LuiseRainer,74,10671_LuiseRainer_74_f.jpg,HerbertLom,0.5601774713593899,HerbertLom,0.4536742127295193,25.08,0.9274407029151917,0.9939773082733154,16118.468212366104,0,1,0,1,0,0,1
1,5,0.01,0.0,0.19,LuiseRainer,74,10671_LuiseRainer_74_f.jpg,HerbertLom,0.5601774713593899,HerbertLom,0.4046785337865513,25.08,1.727426290512085,0.9798716902732849,16118.468212366104,0,1,0,1,0,0,1
2,5,0.01,0.0,0.28,LuiseRainer,74,10671_LuiseRainer_74_f.jpg,HerbertLom,0.5601774713593899,HerbertLom,0.3879512589570898,25.08,2.9015185832977295,0.9437421560287476,16118.468212366104,0,1,0,1,0,0,1
3,5,0.01,0.0,0.37,LuiseRainer,74,10671_LuiseRainer_74_f.jpg,HerbertLom,0.5601774713593899,HerbertLom,0.45021378343794144,25.08,4.210275650024414,0.8830233812332153,16118.468212366104,0,1,0,1,0,0,1
4,5,0.01,0.0,0.45999999999999996,LuiseRainer,74,10671_LuiseRainer_74_f.jpg,HerbertLom,0.5601774713593899,HerbertLom,0.46958669143339793,25.08,8.74537181854248,0.49412858486175537,16118.468212366104,0,1,0,1,0,0,1
5,5,0.01,0.0,0.5499999999999999,LuiseRainer,74,10671_LuiseRainer_74_f.jpg,HerbertLom,0.5601774713593899,LuiseRainer,0.38428922398713206,25.08,8.1299467086792,0.2619711756706238,16118.468212366104,0,1,1,0,0,0,1
6,5,0.01,0.0,0.64,LuiseRainer,74,10671_LuiseRainer_74_f.jpg,HerbertLom,0.5601774713593899,LuiseRainer,0.42294217168965764,25.08,7.041007041931152,0.48048123717308044,16118.468212366104,0,1,1,0,0,0,1
7,5,0.01,0.0,0.73,LuiseRainer,74,10671_LuiseRainer_74_f.jpg,HerbertLom,0.5601774713593899,LuiseRainer,0.42866190910248264,25.08,6.896827220916748,0.5111100077629089,16118.468212366104,0,1,1,0,0,0,1
8,5,0.01,0.0,0.82,LuiseRainer,74,10671_LuiseRainer_74_f.jpg,HerbertLom,0.5601774713593899,HerbertLom,0.5703739343135745,25.08,6.878934860229492,0.5137256979942322,16118.468212366104,0,1,0,1,0,0,1
9,5,0.01,0.0,0.9099999999999999,LuiseRainer,74,10671_LuiseRainer_74_f.jpg,HerbertLom,0.5601774713593899,HerbertLom,0.6039840688505123,25.08,6.803561687469482,0.5286269187927246,16118.468212366104,0,1,0,1,0,0,1
10,5,0.01,0.0,1.0,LuiseRainer,74,10671_LuiseRainer_74_f.jpg,HerbertLom,0.5601774713593899,HerbertLom,0.5970128247137363,25.08,6.875650405883789,0.5159803032875061,16118.468212366104,0,1,0,1,0,0,1
11,19,0.01,0.0,0.1,BarbaraBouchet,25,11847_BarbaraBouchet_25_f.jpg,AngieDickinson,0.5721671738064738,AngieDickinson,0.5953436455509111,-3.93,1.1003546714782715,0.9955978393554688,8822.663527488708,0,1,0,1,0,0,1
