,hash_sample,offset,covariates_beta,drift_beta,true_identity,age,filename,y_pred,y_drift,predicted_age,euclidean,cosine,identity_grouping_distance,orig_TP,orig_FN,virtual_TP,virtual_FN,stat_TP,stat_FP,stat_undefined
0,1,0.01,0,0.5,PaulAnka,60,102_PaulAnka_60_m.jpg,PaulAnka,PaulAnka,6.47,9.989723206,0.611876428,-42634.44051,1,0,1,0,1,0,0
1,2,0.01,0,0.5,LuiseRainer,26,10638_LuiseRainer_26_f.jpg,"AngelaLansbury AngelaLansbury MickeyRooney MickeyRooney
 RichardCrenna MickeyRooney RichardCrenna MickeyRooney
 MickeyRooney RichardCrenna AngelaLansbury MickeyRooney
 MickeyRooney MickeyRooney RichardCrenna AngelaLansbury
 AngelaLansbury AngelaLansbury RichardCrenna]","ArnoldSchwarzenegger GiulianoGemma ArnoldSchwarzenegger
 GiulianoGemma ArnoldSchwarzenegger GiulianoGemma HelenHayes
 GiulianoGemma ArnoldSchwarzenegger HelenHayes HelenHayes
 GiulianoGemma ArnoldSchwarzenegger HelenHayes
 ArnoldSchwarzenegger GiulianoGemma ArnoldSchwarzenegger
 GiulianoGemma HelenHayes]",-10.24,10.22231483,0.179381266,5942.371164,0,1,0,1,0,0,1
2,3,0.01,0,0.5,LuiseRainer,27,10645_LuiseRainer_27_f.jpg,"EdwardGRobinson FredMacMurray EdwardGRobinson FredMacMurray
 EdwardGRobinson FredMacMurray FredMacMurray FredMacMurray
 EdwardGRobinson KevinBacon KevinBacon FredMacMurray
 EdwardGRobinson KevinBacon EdwardGRobinson EdwardGRobinson
 EdwardGRobinson KevinBacon KevinBacon]","EdwardGRobinson FredMacMurray EdwardGRobinson EdwardGRobinson
 EdwardGRobinson FredMacMurray FredMacMurray FredMacMurray
 EdwardGRobinson KevinBacon EdwardGRobinson FredMacMurray
 EdwardGRobinson KevinBacon EdwardGRobinson FredMacMurray
 EdwardGRobinson EdwardGRobinson KevinBacon]",-7.04,4.980052471,0.66846174,-3210.578365,0,1,0,1,0,0,1
3,4,0.01,0,0.5,LuiseRainer,28,10666_LuiseRainer_28_f.jpg,"AngelaLansbury AngelaLansbury MickeyRooney MickeyRooney
 AngelaLansbury MickeyRooney RichardCrenna MickeyRooney
 MickeyRooney RichardCrenna AngelaLansbury MickeyRooney
 AngelaLansbury MickeyRooney RichardCrenna AngelaLansbury
 AngelaLansbury AngelaLansbury RichardCrenna]","EdwardGRobinson FredMacMurray EdwardGRobinson EdwardGRobinson
 FredMacMurray FredMacMurray KevinBacon FredMacMurray
 EdwardGRobinson KevinBacon EdwardGRobinson FredMacMurray
 EdwardGRobinson EdwardGRobinson EdwardGRobinson EdwardGRobinson
 EdwardGRobinson EdwardGRobinson KevinBacon]",-11.09,11.39050865,0.113838613,-12399.74146,0,1,0,1,0,0,1
4,5,0.01,0,0.5,LuiseRainer,74,10671_LuiseRainer_74_f.jpg,"WarrenBeatty PeterFalk MichaelYork MichaelYork PeterFalk
 PeterFalk PeterFalk PeterFalk MichaelYork WarrenBeatty
 MichaelYork PeterFalk MichaelYork WarrenBeatty WarrenBeatty
 PeterFalk PeterFalk WarrenBeatty WarrenBeatty]","EdwardGRobinson FredMacMurray EdwardGRobinson EdwardGRobinson
 EdwardGRobinson FredMacMurray KevinBacon FredMacMurray
 EdwardGRobinson EdwardGRobinson EdwardGRobinson FredMacMurray
 EdwardGRobinson EdwardGRobinson EdwardGRobinson EdwardGRobinson
 EdwardGRobinson EdwardGRobinson KevinBacon]",25.08,8.777024269,0.230503067,16118.46821,0,1,0,1,0,0,1
5,6,0.01,0,0.5,LuiseRainer,27,10674_LuiseRainer_27_f.jpg,"ArnoldSchwarzenegger ArnoldSchwarzenegger GiulianoGemma
 ArnoldSchwarzenegger HelenHayes GiulianoGemma HelenHayes
 GiulianoGemma ArnoldSchwarzenegger HelenHayes
 ArnoldSchwarzenegger GiulianoGemma ArnoldSchwarzenegger
 GiulianoGemma HelenHayes GiulianoGemma ArnoldSchwarzenegger
 ArnoldSchwarzenegger HelenHayes]","EdwardFox GladysCooper EdwardFox EdwardFox EdwardFox
 GladysCooper MickJagger GladysCooper EdwardFox MickJagger
 EdwardFox GladysCooper EdwardFox EdwardFox MickJagger
 GladysCooper EdwardFox EdwardFox MickJagger]",-3.79,8.242883682,0.411449075,-27218.47951,0,1,0,1,0,0,1
6,7,0.01,0,0.5,LuiseRainer,46,10686_LuiseRainer_46_f.jpg,LuiseRainer,HerbertLom,-1.56,10.61277199,0.059606034,6679.276062,1,0,0,1,0,1,0
7,8,0.01,0,0.5,OrnellaMuti,15,10752_OrnellaMuti_15_f.jpg,OrnellaMuti,OrnellaMuti,4.68,11.60483932,0.412119091,4082.245439,1,0,1,0,1,0,0
8,9,0.01,0,0.5,OrnellaMuti,21,10757_OrnellaMuti_21_f.jpg,"EdwardFox EdwardFox EdwardFox EdwardFox MickJagger
 GladysCooper MickJagger GladysCooper EdwardFox MickJagger
 EdwardFox GladysCooper EdwardFox MickJagger EdwardFox
 GladysCooper EdwardFox EdwardFox MickJagger]","EdwardFox MickJagger EdwardFox EdwardFox EdwardFox
 GladysCooper MickJagger GladysCooper EdwardFox MickJagger
 EdwardFox GladysCooper EdwardFox EdwardFox EdwardFox
 GladysCooper EdwardFox GladysCooper MickJagger]",-2.49,10.90770531,0.19371061,-14548.46159,0,1,0,1,0,0,1
9,10,0.01,0,0.5,OrnellaMuti,26,10762_OrnellaMuti_26_f.jpg,OrnellaMuti,PaulAnka,0.4,13.47175217,0.241400003,-11645.70628,1,0,0,1,0,1,0
