,s_f1,diff1,T_h,age,filename
0,713.506154568232,210057.86827203524,34.538776394910684,60,102_PaulAnka_60_m.jpg
0,14228.666912852143,25097343.60031319,34.538776394910684,26,10638_LuiseRainer_26_f.jpg
0,4285.820126460012,1598973.4483539741,34.538776394910684,27,10645_LuiseRainer_27_f.jpg
0,1458.5275686285624,527377.9134823402,34.538776394910684,28,10666_LuiseRainer_28_f.jpg
0,6309.140640621207,4341850.154681397,34.538776394910684,74,10671_LuiseRainer_74_f.jpg
0,716.2145202056088,729574.0433416071,34.538776394910684,27,10674_LuiseRainer_27_f.jpg
0,6967.401172435214,6971010.85784104,34.538776394910684,46,10686_LuiseRainer_46_f.jpg
0,1706.5631786674878,1415552.186959789,34.538776394910684,15,10752_OrnellaMuti_15_f.jpg
0,760.9536804585512,431482.29406155995,34.538776394910684,21,10757_OrnellaMuti_21_f.jpg
0,101.4503075845604,283798.70641422906,34.538776394910684,26,10762_OrnellaMuti_26_f.jpg
0,635.174824243131,320794.40380511666,34.538776394910684,51,10785_OrnellaMuti_51_f.jpg
0,317.7638830850274,457252.68101422343,34.538776394910684,55,10789_OrnellaMuti_55_f.jpg
0,5268.329775454615,2371628.8397757257,34.538776394910684,57,10791_OrnellaMuti_57_f.jpg
0,226.2506061123028,361259.6745420322,34.538776394910684,34,11665_MireilleDarc_34_f.jpg
0,1183.244950702117,413686.08680087014,34.538776394910684,38,11669_MireilleDarc_38_f.jpg
0,2204.0585472631365,1169485.3409822346,34.538776394910684,51,11678_MireilleDarc_51_f.jpg
0,94.96490072668534,501688.5427035648,34.538776394910684,54,11679_MireilleDarc_54_f.jpg
0,984.0149804405794,345401.72101293044,34.538776394910684,58,11683_MireilleDarc_58_f.jpg
0,70.31825148471943,394979.2689038441,34.538776394910684,25,11847_BarbaraBouchet_25_f.jpg
0,112.45514184763734,1582989.6483559944,34.538776394910684,61,11870_BarbaraBouchet_61_f.jpg
0,280.61691067895924,1274715.6796863792,34.538776394910684,68,11876_BarbaraBouchet_68_f.jpg
0,279.2262759663501,822955.0913767695,34.538776394910684,20,11948_AngelaLansbury_20_f.jpg
0,136.43141979223316,689336.003809317,34.538776394910684,35,11959_AngelaLansbury_35_f.jpg
0,126.30515703158312,849261.0261977535,34.538776394910684,41,11962_AngelaLansbury_41_f.jpg
0,577.5431515890572,1162592.888369942,34.538776394910684,46,11964_AngelaLansbury_46_f.jpg
0,122.2495736731095,1575864.5234609833,34.538776394910684,60,11971_AngelaLansbury_60_f.jpg
0,167.6091287219376,1181500.5559057102,34.538776394910684,67,11977_AngelaLansbury_67_f.jpg
0,129.19273614161025,676542.3182505629,34.538776394910684,80,11984_AngelaLansbury_80_f.jpg
0,142.11297759046528,778487.8115639834,34.538776394910684,87,11989_AngelaLansbury_87_f.jpg
0,1262.5233861252902,-23070.222903470334,34.538776394910684,24,12024_DebbieReynolds_24_f.jpg
0,1367.1249267096057,-1303781.301909662,34.538776394910684,69,12045_DebbieReynolds_69_f.jpg
0,183.8743615688615,-330403.96516371774,34.538776394910684,78,12055_DebbieReynolds_78_f.jpg
0,2144.30571831731,-4337079.118219424,34.538776394910684,30,12092_EvaMarieSaint_30_f.jpg
0,955.4818123184298,-120463.77599716485,34.538776394910684,44,12103_EvaMarieSaint_44_f.jpg
0,974.8996135144155,-19771.381317698797,34.538776394910684,73,12115_EvaMarieSaint_73_f.jpg
0,239.6865121976441,469720.69810538494,34.538776394910684,82,12121_EvaMarieSaint_82_f.jpg
0,7942.015588873397,-26472229.752436478,34.538776394910684,18,121_MickJagger_18_m.jpg
0,1071.2341028393685,-417815.3700627926,34.538776394910684,51,12329_MyrnaLoy_51_f.jpg
0,240.08804757460925,87697.99862391921,34.538776394910684,75,12330_MyrnaLoy_75_f.jpg
0,2976.171200723961,-6257684.804303336,34.538776394910684,20,12337_MyrnaLoy_20_f.jpg
0,354.3045518761588,94129.1920584209,34.538776394910684,67,12364_MyrnaLoy_67_f.jpg
0,977.958536229961,-134730.35033137986,34.538776394910684,33,12376_MyrnaLoy_33_f.jpg
0,1735.4626964679417,-427644.1433528283,34.538776394910684,47,12425_AngieDickinson_47_f.jpg
0,583.6377423632794,-563469.4451541795,34.538776394910684,31,12438_AngieDickinson_31_f.jpg
0,1112.7674445713526,-252900.97794046398,34.538776394910684,42,12445_AngieDickinson_42_f.jpg
0,2731.396635844368,-1114919.2176234897,34.538776394910684,76,12457_AngieDickinson_76_f.jpg
0,2053.7515379684937,-3019.211916392622,34.538776394910684,43,12607_FrancesDee_43_f.jpg
0,1160.3835484340866,-257505.66566633937,34.538776394910684,83,12612_FrancesDee_83_f.jpg
0,3752.87451079766,2312333.860329896,34.538776394910684,89,12613_FrancesDee_89_f.jpg
0,1749.9968583562033,-2233153.9279728434,34.538776394910684,38,13032_GeraldineChaplin_38_f.jpg
0,1997.1256030267775,-1705608.264835955,34.538776394910684,52,13041_GeraldineChaplin_52_f.jpg
0,7531.09976402085,-8214416.388189549,34.538776394910684,53,13042_GeraldineChaplin_53_f.jpg
0,3613.1125784302526,-4920177.0674470635,34.538776394910684,66,13052_GeraldineChaplin_66_f.jpg
0,1647.3002126814768,-834489.0906339609,34.538776394910684,36,13417_DanielleDarrieux_36_f.jpg
0,1943.2686324929346,-1226641.789782409,34.538776394910684,38,13419_DanielleDarrieux_38_f.jpg
0,2293.301346961261,-325842.2436180395,34.538776394910684,40,13420_DanielleDarrieux_40_f.jpg
0,1467.2335364738651,-393251.1226643024,34.538776394910684,64,13436_DanielleDarrieux_64_f.jpg
0,2530.5401818802634,-2108075.2970798174,34.538776394910684,65,13437_DanielleDarrieux_65_f.jpg
0,2056.8006690814377,-867104.1527850816,34.538776394910684,31,13522_HelenHayes_31_f.jpg
0,5467.86697872469,497501.71495668625,34.538776394910684,52,13526_HelenHayes_52_f.jpg
0,4311.754041420809,391372.735547969,34.538776394910684,23,13533_HelenHayes_23_f.jpg
0,3056.7799421099508,-5850913774379636.0,34.538776394910684,34,13537_HelenHayes_34_f.jpg
0,2669.279966579743,-401412.7256489407,34.538776394910684,85,13539_HelenHayes_85_f.jpg
0,5721.8003132007825,4193282.7123929635,34.538776394910684,78,13550_HelenHayes_78_f.jpg
0,1115.7434571089088,-484503.4838447067,34.538776394910684,70,13554_HelenHayes_70_f.jpg
0,3152.6492397537622,218234.69000580828,34.538776394910684,62,14520_AudreyHepburn_62_f.jpg
0,466.3003482678063,-1365767.1964730346,34.538776394910684,24,14530_AudreyHepburn_24_f.jpg
0,10193.474317371292,3115624.312901361,34.538776394910684,24,14531_AudreyHepburn_24_f.jpg
0,209.70974034227464,-3127558.733968252,34.538776394910684,25,14534_AudreyHepburn_25_f.jpg
0,253.5877675773975,-4418093.814220457,34.538776394910684,32,14537_AudreyHepburn_32_f.jpg
0,4643.818977510295,-3951463.2021782626,34.538776394910684,36,14551_AudreyHepburn_36_f.jpg
0,326.2973035142537,-7217793.3332960745,34.538776394910684,15,15001_AnnMiller_15_f.jpg
0,473.11857567201815,-17487428.464762673,34.538776394910684,17,15003_AnnMiller_17_f.jpg
